title,url,ingredient
시원한 국물의 잔치국수,http://www.10000recipe.com/recipe/7000000,"[['국수2인분'], ['멸치5개'], ['건다시마2장'], ['달걀1개'], ['건표고버섯1개'], ['대파30g'], ['당근30g'], ['물1.5L'], ['양파0.5개'], ['참치액젓1스푼'], ['국간장1.5스푼'], ['무30g'], ['김가루조금']]"
속이 편해지는 구수한 근대된장 끓이는 법 근대된장국 만드는방법 김진옥요리가좋다,http://www.10000recipe.com/recipe/7000001,"[['근대400g'], ['멸치다시마육수1600ml'], ['마른새우15g'], ['된장5T'], ['다진파5T'], ['다진마늘1T'], ['국간장1T'], ['멸치액젓1T']]"
"쑥부침개, 봄나물의 향을 느낄 수 있는 부침개",http://www.10000recipe.com/recipe/7000002,"[['쑥70g'], ['양파0.5개'], ['식용유조금'], ['달걀1개'], ['튀김가루0.5컵'], ['부침가루0.5컵'], ['물1컵']]"
반숙계란 반숙달걀 반숙란 삶는법 (촉촉한 계란삶는법),http://www.10000recipe.com/recipe/7000003,"[['계란8개'], ['소금1t']]"
베이키드빈스콩(부대찌개콩)스팸김치찌개!,http://www.10000recipe.com/recipe/7000004,"[['배추김치1/2포기'], ['베이키드빈스통조림1개'], ['스팸1개'], ['청양고추2개'], ['대파1개'], ['다진마늘1작은술'], ['소금조금'], ['설탕1작은술']]"
가지 덮밥 만들기 / 한그릇 덮밥 메뉴,http://www.10000recipe.com/recipe/7000005,"[['가지2~3개'], ['양파1/2개'], ['호박1/2개'], ['느타리버섯120g'], ['당근50g'], ['돼지고기다짐육200g'], ['대파1/2개'], ['물1컵'], ['전분물3큰술'], ['간장3큰술'], ['굴소스2큰술'], ['다진마늘1큰술'], ['올리고당1큰술'], ['매실액1큰술'], ['참치액젓1큰술'], ['참기름2큰술'], ['후춧가루조금']]"
오이고추 토마토 무침 비빔밥 만들기,http://www.10000recipe.com/recipe/7000006,"[['밥2공기'], ['달걀2개'], ['토마토1개'], ['오이고추4개'], ['대파10cm'], ['식용유1큰술'], ['고춧가루1작은술'], ['소금1/4작은술'], ['다진마늘1큰술'], ['국간장1작은술'], ['올리고당1작은술'], ['참기름1큰술']]"
재료 2개로 초간단 김치찌개 만들기,http://www.10000recipe.com/recipe/7000007,"[['김치1포기'], ['소금약간'], ['물김치잠길정도']]"
향긋하고 시원한 불미나리 무침,http://www.10000recipe.com/recipe/7000008,"[['미나리1단'], ['참치액젓1T'], ['간장0.5T'], ['참기름1T'], ['다진마늘0.5T'], ['구운소금0.5T'], ['통깨1T']]"
쌉싸름하고 향긋한 된장 취나물 무침,http://www.10000recipe.com/recipe/7000009,"[['취나물1단'], ['된장1T'], ['참치액젓1T'], ['참기름1T'], ['다진마늘0.5T'], ['다진파2T']]"
